Transaction Description,Type,Category,Amount ($)
Bank credit from property lease payment,Income,Rent Income,5277.98
Payment to comcast,Expense,Utilities,625.02
burger king monthly bill,Expense,Restaurants,988.58
gYm membErshiP monthly bill,Expense,Health & Medical,265.53
PAiD Safeway vIa cArd,Expense,Groceries,909.39
contract PROject pAYmeNt cREdITeD tO aCCOunt,Income,Freelance,5866.21
Bank credit from corporate payment,Income,Salary,3825.93
city WateR charge,Expense,Utilities,812.19
Pai costCo Via caRD,Expense,Groceries,242.74
Credited from share sale pofit,Income,Investments,3575.16
Paid aldi via card,Expense,Groceries,847.91
Purchase at domino's pizza,Expense,Restaurants,485.62
holiday reward credited to account,Income,Gift/Bonus,290.74
Received office aycheck,Income,Salary,8582.24
fd intErest deposit reCeIvEd,Income,Interest/Dividends,4150.05
Bank credit from bank interest,Income,Interest/Dividends,6874.85
Credited from credit card cashback,Income,Refunds,9661.41
bp gas transaction,Expense,Transportation,957.42
CreDITEd from CUSTomEr PaYmEnt,Income,Business Revenue,9874.29
indigo charge,Expense,Travel,576.6
birthday gift money credited to account,Income,Gift/Bonus,1874.43
2t-mobile monthly bill,Expense,Utilities,692.27
company payroll credited to account,Income,Salary,7082.46
property lease payment deposit received,Income,Rent Income,3515.84
birthday gift money deposit received,Income,Gift/Bonus,2816.43
comcast - order #7191,Expense,Utilities,653.74
Income via salary from google,Income,Salary,341.32
Paid ebay via card,Expense,Shopping,250.15
office lease income deposit received,Income,Rent Income,3583.33
PAid saFeway VIa cArD,Expense,Groceries,507.57
Received share sale pr3ofit,Income,Investments,2444.85
netflix - order #9994,Expense,Subscriptions,755.62
urgent care transaction,Expense,Health & Medical,863.06
ReceivEd cRypto gaIN,Income,Investments,6831.72
Payment to airbnb,Expense,Travel,43.38
Credited from upwork payout,Income,Freelance,7374.49
house rent deposit received,Income,Rent Income,2262.64
PAid airbnb Via carD,Expense,Travel,218.64
company payroll deposit received,Income,Salary,3037.67
Payment received: crypto gain,Income,Investments,8585.48
store deposit credited to account,Income,Business Revenue,6751.61
ci1ty WAteR monthly bill,Expense,Utilities,343.94
Paid amazon prime via card,Expense,Subscriptions,472.6
monthly salary credited to account,Income,Salary,8825.59
company payroll credited to account,Income,Salary,4836.01
spectrum monthly bill,Expense,Utilities,711.28
ReceiveD fd inTerest,Income,Interest/Dividends,8201.37
Paid tripadvisor via card,Expense,Travel,631.7
ubereats - order #7886,Expense,Restaurants,975.73
amazon refund credited to account,Income,Refunds,9549.68
PayMent to kroGER,Expense,Groceries,623.5
PUrchaSE aT gYm membERsHip,Expense,Health & Medical,276.67
Income via store return refund,Income,Refunds,1047.75
starbucks monthl#y bill,Expense,Restaurants,895.7
iNdigo monTHly bill,Expense,Travel,835.12
Bank credit from fd interest,Income,Interest/Dividends,1065.11
aPPlE music - orDer#7993,Expense,Subscriptions,717.69
Purchase at indigo,Expense,Travel,92.61
Income via holiday reward,Income,Gift/Bonus,9964.47
metro ticket monthly bill,Expense,Transportation,724.85
credit card cashback deposit received,Income,Refunds,2317.78
Payment to walmart grocery,Expense,Groceries,472.76
publix transaction,Expense,Groceries,445.53
bank interest credited to account,Income,Interest/Dividends,3174.14
INcome vIA salARy fRom GoOgle,Income,Salary,1440.25
CrediT card c3Ashback dEPosit rECeived,Income,Refunds,4593.06
Purchase at hospital,Expense,Health & Medical,333.72
Purchase at walgreens,Expense,Health & Medical,186.25
Payment received: investment return,Income,Interest/Dividends,9911.16
Received bank interest,Income,Interest/Dividends,1373.29
wal6greens transaction,Expense,Health & Medical,314.21
Paid uber trip via card,Expense,Transportation,293.46
Received share sale profit,Income,Investments,7865.57
Purchase at cvs pharmacy,Expense,Health & Medical,462.39
bp gas charge,Expense,Transportation,960.54
CReDiteD from creDiT card cAShback,Income,Refunds,8910.01
cvs pharmacy - order #7132,Expense,Health & Medical,25.63
nse return deposit received,Income,Investments,9839.68
BoOKing.com transaCtion,Expense,Travel,326.15
b2b invoice payment deposi received,Income,Business Revenue,4501.16
target monthly bill,Expense,Shopping,783.34
speCTRuM - oRdEr #81986,Expense,Utilities,259.48
makemytrip monthly bill,Expense,Travel,840.52
Purchase at booking.com,Expense,Travel,543.22
Pa6yment to walmart,Expense,Shopping,950.74
Bank credit from freelance gig,Income,Freelance,4372.33
fd interest deposit received,Income,Interest/Dividends,8765.2
Paid publix via card,Expense,Groceries,62.41
Credited from investment return,Income,Interest/Dividends,2908.12
Income via festival bonus,Income,Gift/Bonus,3838.85
publix monthly bill,Expense,Groceries,477.33
Income via store deposit,Income,Business Revenue,5371.72
Purchase at tr8ipadvisor,Expense,Travel,644.15
BeST bUy - oRder #5850,Expense,Shopping,880.88
CreDIted FRoM sTock dividend,Income,Investments,7413.34
Bank credit from fiverr payment,Income,Freelance,8617.87
Bank credit from freelance gig,Income,Freelance,3506.38
INcoMe Via CustoMeR paymENt,Income,Business Revenue,8024.82
Paid ubereats via card,Expense,Restaurants,731.92
PURchAse at sTArbuCKs,Expense,Restaurants,628.81
Credited from crypto gain,Income,Investments,3044.06
Credited from online sale,Income,Business Revenue,7150.22
Payment to macys,Expense,Shopping,856.26
Payment received: contract project payment,Income,Freelance,5328.48
Credited from house rent,Income,Rent Income,6162.83
Credited from b2b invoice payment,Income,Business Revenue,4571.01
mcdonald - order #2239,Expense,Restaurants,405.29
Paid electric co-op via ca5rd,Expense,Utilities,229.48
Payment received: freelance gig,Income,Freelance,581.4
pg&E bilL tRansaCTioN,Expense,Utilities,140.88
trader joe trasaction,Expense,Groceries,867.68
online sale credited to account,Income,Business Revenue,2785.46
Payment received: birthday gift money,Income,Gift/Bonus,8272.48
RecEivEd cORPOraTE payMe#Nt,Income,Salary,421.35
CrEDiteD froM fd iNterest,Income,Interest/Dividends,8183.99
t-mobile monthly bill,Expense,Utilities,332.02
online sale credited to account,Income,Business Revenue,9932.55
IncoMe via DiviDEnD crEdiT,Income,Interest/Dividends,9263.69
Payment received: crypto gain,Income,Investments,2118.84
Purchase at pg&e bill,Expense,Utilities,331.03
chevRON mOthlY bill,Expense,Transportation,164.86
ReceiVED OnlInE sale,Income,Business Revenue,8602.89
credit card cashback deposit received,Income,Refunds,956.23
Payment to kfc,Expense,Restaurants,894.46
amazon.com charge,Expense,Shopping,276.67
PUrchase AT mETRo tiCket,Expense,Transportation,166.26
CredItEd from OfFIce pAYchEck,Income,Salary,8291.23
Income via client transfer,Income,Freelance,8510.86
gym membership transaction,Expense,Health & Medical,869.41
nse return credited to account,Income,Investments,8745.03
safeway charge,Expense,Groceries,941.94
Received festival bonus,Income,Gift/Bonus,7779.84
BAnk creDIt FroM bIrThday gift MOney,Income,Gift/Bonus,6032.56
Purchase at gym membership,Expense,Health & Medical,28.62
Pay2ment received: store deposit,Income,Business Revenue,1043.22
cvs pharmacy transaction,Expense,Health & Medical,53.98
Income vi0a corporate payment,Income,Salary,4597.0
ReCeived hOLIdAy rewArD,Income,Gift/Bonus,1874.11
Income via nse return,Income,Investments,9323.58
Credited from cash prize,Income,Gift/Bonus,7252.04
wAlmart grOcerY tRanSaction,Expense,Groceries,371.58
Payment rec9eived: holiday reward,Income,Gift/Bonus,434.54
Income via bank refund,Income,Refunds,5960.67
fiverr payment credited to account,Income,Freelance,9249.8
tenant payment deposit received,Income,Rent Income,4371.25
Payment received: company payroll,Income,Salary,5113.56
house rent creditd to account,Income,Rent Income,9514.03
Payment to gym membership,Expense,Health & Medical,393.38
Income via dividend credit,Income,Interest/Dividends,8917.46
Credited from nse return,Income,Investments,7621.96
cash prize deposit received,Income,Gift/Bonus,7375.24
myntra charge,Expense,Shopping,192.71
Purchase at walgreens,Expense,Health & Medical,506.13
lyft ride charge,Expense,Transportation,167.8
Received monthly salary,Income,Salary,9211.46
Purchase at verizon,Expense,Utilities,273.61
kroger charge,Expense,Groceries,636.72
myntra - order #7652,Expense,Shopping,119.52
Payment received: office lease income,Income,Rent Income,9799.2
corporate payment credited to account,Income,Salary,8017.8
Bank credit from mutual fund profit,Income,Investments,8117.17
Received office paycheck,Income,Salary,3834.04
Payment received: tenant payment,Income,Rent Income,5386.46
Received bank interest,Income,Interest/Dividends,5742.56
Paid walgreens via card,Expense,Health & Medical,654.81
IncomE via Bank rEfund,Income,Refunds,1526.47
urgent care - order #9385,Expense,Health & Medical,268.91
kroger transaction,Expense,Groceries,47.47
pg&e bill charge,Expense,Utilities,567.65
ikea monthly b@ill,Expense,Shopping,765.14
Paid comcast via card,Expense,Utilities,873.11
b2B invOIce paymeNT CrediTed tO aCcounT,Income,Business Revenue,3647.97
Credited from holiday reward,Income,Gift/Bonus,9948.86
lyft ride charge,Expense,Transportation,602.01
mutual fund profit deposit received,Income,Investments,4558.72
Payment to tripadvisor,Expense,Travel,16.96
Payment to flipkart,Expense,Shopping,208.96
stock dividend deposit received,Income,Investments,3915.28
Payment received: stock dividend,Income,Investments,9942.04
PurcHase AT IkEa,Expense,Shopping,548.42
Paid parking garag7e via card,Expense,Transportation,840.84
OnlinE SalE depOSit receiVeD,Income,Business Revenue,2748.82
aPpLe MUSIc mOnthly bill,Expense,Subscriptions,222.87
Credited from birthday gift money,Income,Gift/Bonus,6280.63
hospital transaction,Expense,Health & Medical,519.65
Payment received: dividend credit,Income,Interest/Dividends,650.47
verizon - order #7936,Expense,Utilities,675.49
walgreens monthly bill,Expense,Health & Medical,696.63
BesT Buy cHaRGe,Expense,Shopping,207.4
Paid makemytrip via card,Expense,Travel,252.15
Payment rEcEivEd: cash prIZE,Income,Gift/Bonus,1367.14
publix - order #4872,Expense,Groceries,548.7
Payment received: online sale,Income,Business Revenue,4569.2
Bank credit from company payroll,Income,Salary,9567.06
kroger - order #7360,Expense,Groceries,264.46
Purchase at makemy6trip,Expense,Travel,244.27
Income via property lease payment,Income,Rent Income,6840.49
Payment received: tenant payment,Income,Rent Income,7415.18
Payment to chevron,Expense,Transportation,588.21
b2b invoice payment deposit received,Income,Business Revenue,1008.82
Payment received: contract project payment,Income,Freelance,8990.94
tripadvisor - order #9381,Expense,Travel,687.13
Purchase at ebay,Expense,Shopping,217.27
tripadvisor - order #2472,Expense,Travel,920.94
Purchase at parking garage,Expense,Transportation,616.44
Payment received: client transfer,Income,Freelance,2019.76
Payment to bp gas,Expense,Transportation,67.28
Bank credit from bank interest,Income,Interest/Dividends,5476.56
Income via dividend credit,Income,Interest/Dividends,4180.18
indi#go charge,Expense,Travel,18.85
ReCeivED hOliday RewARD,Income,Gift/Bonus,6349.63
Paid bp gas via card,Expense,Transportation,520.45
grubhub charge,Expense,Restaurants,586.12
ReCeiveD Fiverr PaYmeNt,Income,Freelance,1459.96
spotify charge,Expense,Subscriptions,377.32
Received store return refund,Income,Refunds,1180.67
tEnaNt payMenT crediteD to aCCOunt,Income,Rent Income,7878.45
URGent Care TRAnsactiOn,Expense,Health & Medical,393.98
b2b invoice payment deposit received,Income,Business Revenue,1256.51
Payment to lyft ride,Expense,Transportation,825.08
Payment to makemytrip,Expense,Travel,80.47
bp Gas TranSACTioN,Expense,Transportation,748.13
Paid amazon.com via card,Expense,Shopping,889.64
costco charge,Expense,Groceries,234.12
t-obile monthly bill,Expense,Utilities,687.35
Paid lyft ride via card,Expense,Transportation,883.02
PaId aLDi via CaRd,Expense,Groceries,143.83
RECeivEd Amazon reFund,Income,Refunds,8798.15
Purchase at 3meijer,Expense,Groceries,222.22
PaYMeNT to CHEvron,Expense,Transportation,824.73
Bank credit from office lease income,Income,Rent Income,4498.99
RecEiveD fIVERr payment,Income,Freelance,4901.29
domino's pizza transaction,Expense,Restaurants,637.46
fReeLANce gig crediTeD to aCcount,Income,Freelance,5548.86
corporate payment deposit received,Income,Salary,8658.05
makemytrip transaction,Expense,Travel,917.33
Paid urgent care via card,Expense,Health & Medical,695.62
ReceiVed clienT TrAnsfeR,Income,Freelance,1920.16
Purchase at chevron,Expense,Transportation,657.83
PAYmEnt receivEd: bANk iNtereSt,Income,Interest/Dividends,1301.53
b2b InvOice payMenT CReDiTeD to aCcoUnT,Income,Business Revenue,2286.29
Purchase at costco,Expense,Groceries,565.95
parKinG GaRAGe moNThly bIll,Expense,Transportation,128.98
Credited from performance bonus,Income,Gift/Bonus,3766.45
Credited from stock dividend,Income,Investments,8892.06
PAid hULu Via carD,Expense,Subscriptions,872.66
Paid hospital via card,Expense,Health & Medical,556.9
Credited from amazon refund,Income,Refunds,8375.42
meijer - order #2485,Expense,Groceries,75.22
krogermonthly bill,Expense,Groceries,430.03
Payment to verizon,Expense,Utilities,939.41
walmart charge,Expense,Shopping,991.87
netflix monthly bill,Expense,Subscriptions,185.16
Credited from nse return,Income,Investments,5183.3
REceiveD dIvI0Dend cRediT,Income,Interest/Dividends,5110.69
stock dividend credited to account,Income,Investments,1567.93
Payment received: client transfer,Income,Freelance,2675.55
tripadvisor monthly bill,Expense,Travel,629.77
Purchase at i7kea,Expense,Shopping,79.47
Bank credit from office lease income,Income,Rent Income,4978.06
cOrporAte paYMeNt deposIt ReceiVeD,Income,Salary,4550.94
Payment received: property lease 6payment,Income,Rent Income,7006.13
trader joe - order #7899,Expense,Groceries,335.39
Income via stck dividend,Income,Investments,3027.61
share sale profit deposit received,Income,Investments,9815.25
Paid hulu via card,Expense,Subscriptions,504.19
hospital monthly bill,Expense,Health & Medical,290.28
Credited from tenant payment,Income,Rent Income,6369.51
Credited from credit car#d cashback,Income,Refunds,4360.16
Paid mcdonald via card,Expense,Restaurants,810.15
flipkart transaction,Expense,Shopping,139.21
performance bonus deposit received,Income,Gift/Bonus,4875.81
Credited from contract project payment,Income,Freelance,5927.82
Paid gym membership via card,Expense,Health & Medical,940.1
booking.com transaction,Expense,Travel,633.4
Paid shell oil via card,Expense,Transportation,492.32
Credited from customer payment,Income,Business Revenue,143.54
ReCEiveD B2b invOice paymeNT,Income,Business Revenue,8693.88
meijer transaction,Expense,Groceries,789.96
Income via stock dividend,Income,Investments,4636.6
Purchase at city water,Expense,Utilities,813.56
Purchase at grubhub,Expense,Restaurants,7.77
Credited from bank interest,Income,Interest/Dividends,1774.89
Purchase at aldi,Expense,Groceries,505.16
Payment received: montly salary,Income,Salary,3435.56
ubEr Trip tRAnsAcTION,Expense,Transportation,910.72
dividend credit deposit received,Income,Interest/Dividends,4873.54
Received shop revenue,Income,Business Revenue,1976.74
Income via @monthly salary,Income,Salary,9417.3
Paid comcast via card,Expense,Utilities,93.75
Bank rediT from cash prize,Income,Gift/Bonus,9461.66
yutube premium monthly bill,Expense,Subscriptions,798.46
oyo roOMs tRAnsactIoN,Expense,Travel,991.77
Credited from freelance gig,Income,Freelance,8709.57
Income via share sale profit,Income,Investments,8233.94
hospital transaction,Expense,Health & Medical,745.83
Bank credit 0from stock dividend,Income,Investments,8033.69
Purchase at bp gas,Expense,Transportation,808.06
Purchase at publix,Expense,Groceries,267.52
Income via salary from google,Income,Salary,5828.98
festival bonus deposit received,Income,Gift/Bonus,2683.97
Paid verizo@n via card,Expense,Utilities,882.56
PAyMent To t-Mobile,Expense,Utilities,179.37
PayMent to citY WaTer,Expense,Utilities,838.2
Payment to booking.com,Expense,Travel,741.34
share sale profit deposit received,Income,Investments,3313.93
spotify charge,Expense,Subscriptions,296.11
Received dividend credit,Income,Interest/Dividends,8132.71
Purchase at hospital,Expense,Health & Medical,137.89
Purchase at spotify,Expense,Subscriptions,756.08
grubhub transaction,Expense,Restaurants,135.82
Credited from property lease payment,Income,Rent Income,768.58
PAYment rEceived: sHop rEveNue,Income,Business Revenue,3732.01
Credited from crypto gain,Income,Investments,5666.67
amazon refund credited to account,Income,Refunds,6885.96
cvs pharmacy - order #8832,Expense,Health & Medical,615.0
netflix - order #4794,Expense,Subscriptions,138.91
PAyment to Meijer,Expense,Groceries,944.18
Paym0ent received: online sale,Income,Business Revenue,5743.76
Payment received: dividend credit,Income,Interest/Dividends,3303.66
electrIc co-op trAnsaCtIon,Expense,Utilities,817.78
Bank credit from property5 lease payment,Income,Rent Income,9082.17
Purchase at chevron,Expense,Transportation,549.43
Pa6yment to target,Expense,Shopping,331.71
Payment received: office lease income,Income,Rent Income,3957.31
cvs pharmacy transaction,Expense,Health & Medical,576.76
office paycheck credited to account,Income,Salary,3916.2
CreDitEd fROm corporaTe paymeNt,Income,Salary,3470.41
Payment to aldi,Expense,Groceries,213.37
netflix transaction,Expense,Subscriptions,234.64
trader joe monthly bill,Expense,Groceries,231.51
uber trip monthly bill,Expense,Transportation,197.14
Credited from company payroll,Income,Salary,4128.23
disney plus transaction,Expense,Subscriptions,80.77
chevron charge,Expense,Transportation,388.86
Purchase at lyft ride,Expense,Transportation,578.78
Payment to subway,Expense,Restaurants,609.95
Purchase at domino's pizza,Expense,Restaurants,94.05
Received fiverr payment,Income,Freelance,133.09
NetflIX mONThLY bIll,Expense,Subscriptions,271.24
apple music charge,Expense,Subscriptions,528.47
chevron - order #8324,Expense,Transportation,695.58
Payment received: share sale profit,Income,Investments,1113.62
Income viA corporAte paYmENt,Income,Salary,5890.88
Paid ubereats via card,Expense,Restaurants,905.07
Bank credit from store deposit,Income,Business Revenue,2909.17
Bank credit from stock dividend,Income,Investments,3943.82
mUtuaL fUNd PrOfit cRed3itEd tO AccOunt,Income,Investments,1172.82
Payment to ikea,Expense,Shopping,703.54
Bank credit from store return refund,Income,Refunds,2050.38
best buy charge,Expense,Shopping,616.55
netflix - order #7394,Expense,Subscriptions,290.76
pg&e bill Transaction,Expense,Utilities,80.59
Income via online sale,Income,Business Revenue,5371.02
Received customer payment,Income,Business Revenue,4699.43
booking.com transaction,Expense,Travel,150.83
IncOme vIa MOnthly salAry,Income,Salary,9331.69
Paid myntra via card,Expense,Shopping,990.16
paypal refund deposit received,Income,Refunds,9685.51
Credited from online sale,Income,Business Revenue,9535.53
REcEivED baNK ReFuD,Income,Refunds,1886.88
spectrum transaction,Expense,Utilities,521.23
Bank credit 0from b2b invoice payment,Income,Business Revenue,4651.79
Payment to electric co-op,Expense,Utilities,785.2
Bank credit from h5ouse ret,Income,Rent Income,9613.53
uber trip monthly bill,Expense,Transportation,712.19
bp gas - order #4991,Expense,Transportation,581.43
kroger monthly bill,Expense,Groceries,708.17
Income via dividend credit,Income,Interest/Dividends,3083.42
mCdOnaLD montHly bill,Expense,Restaurants,252.84
chevron monthly bill,Expense,Transportation,629.79
Paid urgent care via card,Expense,Health & Medical,575.33
Payment to metro ticket,Expense,Transportation,848.28
store deposit credited to account,Income,Business Revenue,2981.67
Income via office lease income,Income,Rent Income,4215.63
CreDITed From birtHday gift Money,Income,Gift/Bonus,2795.52
oyo rooms transction,Expense,Travel,408.64
PaiD MEijer via card,Expense,Groceries,423.67
verizon charge,Expense,Utilities,752.34
Credited from upwork payout,Income,Freelance,897.43
starbucks charge,Expense,Restaurants,284.4
property lease payment cre4dited to account,Income,Rent Income,449.12
Payment to apple music,Expense,Subscriptions,952.6
Received freelance gig,Income,Freelance,9628.84
Income via upwork payout,Income,Freelance,3534.24
Income via birthday gift money,Income,Gift/Bonus,2302.14
Payment to airbnb,Expense,Travel,780.53
trader joe charge,Expense,Groceries,730.52
Payment received: customer payment,Income,Business Revenue,8761.29
property lease payment credited to account,Income,Rent Income,5701.04
PAyment receiVed: shArE SALE pROfit,Income,Investments,8173.19
myntra - order #7489,Expense,Shopping,729.19
tripadvisor charge,Expense,Travel,123.47
upwork payout credited 4to account,Income,Freelance,4634.56
starbucks transaction,Expense,Restaurants,321.19
Purchase at hospital,Expense,Health & Medical,691.55
comcast transa#ction,Expense,Utilities,821.95
Paid cvs pharmacy via card,Expense,Health & Medical,581.66
walmart - order #3028,Expense,Shopping,929.71
Payment to uber trip,Expense,Transportation,558.36
